2025-09-17 19:55:39 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 3/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:00:25 | Turnos: 89 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:00:58 | Turnos: 23 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:06:33 | Turnos: 85 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:10:23 | Turnos: 81 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:17:34 | Turnos: 99 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:21:38 | Turnos: 61 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:26:18 | Turnos: 69 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:26:51 | Turnos: 17 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:37:23 | Turnos: 102 | Resultado: Combatividade (Cachorros) | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:43:20 | Turnos: 75 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:46:15 | Turnos: 61 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:48:09 | Turnos: 39 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:50:18 | Turnos: 43 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 20:59:55 | Turnos: 107 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:06:19 | Turnos: 83 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:12:11 | Turnos: 85 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:12:24 | Turnos: 11 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:19:03 | Turnos: 75 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:23:25 | Turnos: 63 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:26:16 | Turnos: 49 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:30:30 | Turnos: 75 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 3/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:32:21 | Turnos: 51 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
